address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
208 Beacon ST Boston 02116,Boston,2116,42.35421,-71.07818,154
287 to 293 Maverick ST East Boston 02128,East Boston,2128,42.367289,-71.032955,155
22 Sunnybank RD West Roxbury 02132,West Roxbury,2132,42.2908,-71.15564,156
389 Marlborough ST Boston 02115,Boston,2115,42.35061,-71.08796,157
389 Marlborough ST Boston 02115,Boston,2115,42.35061,-71.08796,158
41 Delle AVE Mission Hill 02120,Mission Hill,2120,42.33134,-71.09888,159
104 Child ST Jamaica Plain 02130,Jamaica Plain,2130,,,160
443 Harrison AV BOSTON 02118,BOSTON,2118,,,161
16 Allstate RD Dorchester 02125,Dorchester,2125,,,162
48A Centre ST Roxbury 02119,Roxbury,2119,,,163
9 Elton ST Dorchester 02125,Dorchester,2125,42.31372,-71.05656,164
46 Linwood ST Roxbury 02119,Roxbury,2119,42.32807,-71.09451,165
26R Houston ST West Roxbury 02132,West Roxbury,2132,,,166
101 to 103 Rutherford AVE Charlestown 02129,Charlestown,2129,42.373746,-71.064506,167
906 E Fourth ST South Boston 02127,South Boston,2127,,,168
84 to 90 A ST South Boston 02127,South Boston,2127,,,169
53 to 55 Waverly ST Brighton 02135,Brighton,2135,,,170
41 Coolidge RD Allston 02134,Allston,2134,42.359469,-71.130338,171
30 Moore ST East Boston 02128,East Boston,2128,42.383624,-71.019286,172
49 Monmouth ST East Boston 02128,East Boston,2128,42.37997,-71.03701,173
14 Tarleton RD West Roxbury 02132,West Roxbury,2132,,,174
40 to 42 Temple St Mattapan 02126,Mattapan,2126,,,175
26 Montrose ST Roxbury 02119,Roxbury,2119,42.324084,-71.080211,176
26 Rowena ST Dorchester 02124,Dorchester,2124,42.284395,-71.062741,177
207 to 209 Market ST Brighton 02135,Brighton,2135,,,178
42 Orchard RD Brighton 02135,Brighton,2135,,,179
31 Marine RD South Boston 02127,South Boston,2127,,,180
21 Holton St Allston 02134,Allston,2134,42.35985,-71.13422,181
3915 Washington ST Roslindale 02131,Roslindale,2131,,,182
753 E Broadway South Boston 02127,South Boston,2127,,,183
333 Freeport ST Dorchester 02122,Dorchester,2122,,,184
664 Adams ST Dorchester 02122,Dorchester,2122,42.28728,-71.05437,185
1251 to 1269 River ST Hyde Park 02136,Hyde Park,2136,,,186
39 to 41 Murdock ST Brighton 02135,Brighton,2135,42.351122,-71.147243,187
313 K ST South Boston 02127,South Boston,2127,42.332911,-71.037552,188
135 William T Morrissey BLVD Dorchester 02127,Dorchester,2127,,,189
289 Ashmont ST Dorchester 02124,Dorchester,2124,42.28639,-71.06126,190
25 Colebrook ST South Boston 02127,South Boston,2127,,,191
244 L St South Boston 02127,South Boston,2127,,,192
64 Telegraph ST South Boston 02127,South Boston,2127,42.333135,-71.04795,193
115 Adams St Dorchester 02122,Dorchester,2122,,,194
141 Addison ST East Boston 02128,East Boston,2128,,,195
15H Mount Vernon ST Dorchester 02125,Dorchester,2125,42.322495,-71.05924,196
84 to 100 Peterborough ST Boston 02215,Boston,2215,,,197
791 E Third ST South Boston 02127,South Boston,2127,,,198
85 to 93 Glenville AV Allston 02134,Allston,2134,,,199
88 Chestnut ST Boston 02108,Boston,2108,42.35671,-71.07048,200
15 W Tremlett ST Dorchester 02124,Dorchester,2124,42.29456,-71.07268,201
141 to 143 P ST South Boston 02127,South Boston,2127,42.33343,-71.027252,202
60 Alban ST Dorchester 02124,Dorchester,2124,42.28692,-71.06659,203
970 Saratoga St East Boston 02128,East Boston,2128,,,204
295 Waldemar AV East Boston 02151,East Boston,2151,,,205
120 Saint Andrew RD East Boston 02128,East Boston,2128,,,206
1809 to 1813 Dorchester AV Dorchester 02124,Dorchester,2124,,,207
845 Albany ST Roxbury 02119,Roxbury,2119,,,208
688 to 688B Columbia RD Dorchester 02125,Dorchester,2125,,,209
324 Summit AVE Brighton 02135,Brighton,2135,42.345277,-71.140475,210
4 O'Donnell TER Dorchester 02122,Dorchester,2122,,,211
1 Morton PL East Boston 02128,East Boston,2128,42.376072,-71.038377,212
202 Paris ST East Boston 02128,East Boston,2128,42.374685,-71.035353,213
23 Hudson St Boston 02111,Boston,2111,42.35052,-71.060352,214
7 Chestnut ST Boston 02108,Boston,2108,,,215
30 to 32 Hastings ST West Roxbury 02132,West Roxbury,2132,42.285865,-71.156502,216
318 to 320 Blue Hill AVE Dorchester 02121,Dorchester,2121,42.31361,-71.07912,217
